Java HotSpot(TM) 64-Bit Server VM (25.291-b10) for linux-amd64 JRE (1.8.0_291-b10), built on Apr  7 2021 19:13:06 by "java_re" with gcc 7.3.0
Memory: 4k page, physical 24260116k(23207660k free), swap 12255228k(12255228k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-08-18T16:39:07.827+0800: 635.424: [GC (Allocation Failure) [PSYoungGen: 82176K->1248K(83968K)] 132287K->51407K(278528K), 0.0021648 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:39:17.827+0800: 645.425: [GC (Allocation Failure) [PSYoungGen: 82656K->928K(84480K)] 132815K->51111K(279040K), 0.0022802 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:39:28.063+0800: 655.660: [GC (Allocation Failure) [PSYoungGen: 82848K->384K(84480K)] 133031K->50599K(279040K), 0.0021463 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:39:39.009+0800: 666.607: [GC (Allocation Failure) [PSYoungGen: 82304K->384K(84480K)] 132519K->50623K(279040K), 0.0069405 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-08-18T16:39:49.555+0800: 677.153: [GC (Allocation Failure) [PSYoungGen: 82304K->416K(84480K)] 132543K->50655K(279040K), 0.0074191 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-08-18T16:40:00.059+0800: 687.657: [GC (Allocation Failure) [PSYoungGen: 82336K->416K(84992K)] 132575K->50663K(279552K), 0.0039739 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-08-18T16:40:11.055+0800: 698.653: [GC (Allocation Failure) [PSYoungGen: 82848K->352K(84480K)] 133095K->50631K(279040K), 0.0020126 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:40:22.058+0800: 709.656: [GC (Allocation Failure) [PSYoungGen: 82784K->416K(84992K)] 133063K->50727K(279552K), 0.0069409 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-08-18T16:40:33.056+0800: 720.653: [GC (Allocation Failure) [PSYoungGen: 83360K->256K(84992K)] 133671K->50607K(279552K), 0.0020605 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2021-08-18T16:40:43.554+0800: 731.151: [GC (Allocation Failure) [PSYoungGen: 83200K->416K(84992K)] 133551K->50783K(279552K), 0.0069193 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-08-18T16:40:54.060+0800: 741.658: [GC (Allocation Failure) [PSYoungGen: 83360K->384K(84992K)] 133727K->50775K(279552K), 0.0019540 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:41:05.061+0800: 752.658: [GC (Allocation Failure) [PSYoungGen: 83328K->320K(84992K)] 133719K->50751K(279552K), 0.0020369 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:41:16.058+0800: 763.656: [GC (Allocation Failure) [PSYoungGen: 83264K->384K(84992K)] 133695K->50871K(279552K), 0.0042307 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-08-18T16:41:27.057+0800: 774.655: [GC (Allocation Failure) [PSYoungGen: 83328K->384K(85504K)] 133815K->50887K(280064K), 0.0018041 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:41:37.057+0800: 784.655: [GC (Allocation Failure) [PSYoungGen: 84352K->416K(85504K)] 134855K->50919K(280064K), 0.0020902 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:41:47.810+0800: 795.408: [GC (Allocation Failure) [PSYoungGen: 84384K->608K(85504K)] 134887K->51119K(280064K), 0.0020052 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-08-18T16:41:57.816+0800: 805.414: [GC (Allocation Failure) [PSYoungGen: 84576K->1248K(85504K)] 135087K->51783K(280064K), 0.0025839 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:42:07.825+0800: 815.423: [GC (Allocation Failure) [PSYoungGen: 85216K->1024K(84480K)] 135751K->51599K(279040K), 0.0022824 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:42:17.833+0800: 825.430: [GC (Allocation Failure) [PSYoungGen: 83968K->992K(84992K)] 134543K->51583K(279552K), 0.0022336 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:42:28.555+0800: 836.152: [GC (Allocation Failure) [PSYoungGen: 83936K->416K(84992K)] 134527K->51007K(279552K), 0.0071089 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-08-18T16:42:39.056+0800: 846.654: [GC (Allocation Failure) [PSYoungGen: 83360K->416K(84992K)] 133951K->51039K(279552K), 0.0022159 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2021-08-18T16:42:50.064+0800: 857.662: [GC (Allocation Failure) [PSYoungGen: 83360K->352K(85504K)] 133983K->51015K(280064K), 0.0019533 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:43:01.061+0800: 868.658: [GC (Allocation Failure) [PSYoungGen: 84320K->352K(85504K)] 134983K->51031K(280064K), 0.0018627 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:43:12.714+0800: 880.312: [GC (Allocation Failure) [PSYoungGen: 84320K->416K(85504K)] 134999K->51103K(280064K), 0.0068170 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-08-18T16:43:23.559+0800: 891.157: [GC (Allocation Failure) [PSYoungGen: 84384K->384K(85504K)] 135071K->51087K(280064K), 0.0065468 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-08-18T16:43:34.713+0800: 902.310: [GC (Allocation Failure) [PSYoungGen: 84352K->288K(85504K)] 135055K->50991K(280064K), 0.0021945 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:43:45.552+0800: 913.149: [GC (Allocation Failure) [PSYoungGen: 84256K->416K(85504K)] 134959K->51151K(280064K), 0.0068640 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2021-08-18T16:43:56.714+0800: 924.311: [GC (Allocation Failure) [PSYoungGen: 84384K->416K(85504K)] 135119K->51183K(280064K), 0.0060568 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2021-08-18T16:44:07.809+0800: 935.407: [GC (Allocation Failure) [PSYoungGen: 84384K->416K(85504K)] 135151K->51231K(280064K), 0.0020070 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2021-08-18T16:44:17.815+0800: 945.413: [GC (Allocation Failure) [PSYoungGen: 84384K->1056K(85504K)] 135199K->51911K(280064K), 0.0022796 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:44:27.824+0800: 955.422: [GC (Allocation Failure) [PSYoungGen: 85024K->704K(85504K)] 135879K->51575K(280064K), 0.0019436 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:44:37.818+0800: 965.416: [GC (Allocation Failure) [PSYoungGen: 84672K->1280K(85504K)] 135543K->52167K(280064K), 0.0022980 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
