2022-04-17 10:52:27.795 接收deviceList：{} 
2022-04-17 10:53:22.906 接收inDepotList：ZxPlatTaskPo [Hash = 1948166888, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:23.909 接收inDepotList：ZxPlatTaskPo [Hash = 522067477, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:24.836 接收inDepotList：ZxPlatTaskPo [Hash = 572197334, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:25.840 接收inDepotList：ZxPlatTaskPo [Hash = 949030127, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:26.079 接收deviceList：{} 
2022-04-17 10:53:26.103 接收inDepotList：ZxPlatTaskPo [Hash = 1746295083, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:27.101 接收inDepotList：ZxPlatTaskPo [Hash = 578217872, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:28.101 接收inDepotList：ZxPlatTaskPo [Hash = 873219177, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:29.109 接收inDepotList：ZxPlatTaskPo [Hash = 104351499, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:30.108 接收inDepotList：ZxPlatTaskPo [Hash = 1136369789, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:31.108 接收inDepotList：ZxPlatTaskPo [Hash = 147326983, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:32.101 接收inDepotList：ZxPlatTaskPo [Hash = 1111641303, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:33.108 接收inDepotList：ZxPlatTaskPo [Hash = 863102110, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:34.105 接收inDepotList：ZxPlatTaskPo [Hash = 8831656, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:35.105 接收inDepotList：ZxPlatTaskPo [Hash = 740180595, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:36.106 接收inDepotList：ZxPlatTaskPo [Hash = 1720481484, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:37.104 接收inDepotList：ZxPlatTaskPo [Hash = 948775767, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:38.103 接收inDepotList：ZxPlatTaskPo [Hash = 1469031267, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:39.103 接收inDepotList：ZxPlatTaskPo [Hash = 49423802, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:40.105 接收inDepotList：ZxPlatTaskPo [Hash = 1158147577, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:41.107 接收inDepotList：ZxPlatTaskPo [Hash = 1934566761, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:42.104 接收inDepotList：ZxPlatTaskPo [Hash = 1900080862, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:43.102 接收inDepotList：ZxPlatTaskPo [Hash = 1727709088, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:44.102 接收inDepotList：ZxPlatTaskPo [Hash = 219073684, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
