Java HotSpot(TM) 64-Bit Server VM (25.291-b10) for linux-amd64 JRE (1.8.0_291-b10), built on Apr  7 2021 19:13:06 by "java_re" with gcc 7.3.0
Memory: 4k page, physical 32357212k(29764328k free), swap 978940k(978940k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2022-04-14T22:20:54.460+0800: 16447.039: [GC (Allocation Failure) [PSYoungGen: 75264K->448K(80896K)] 141560K->66792K(280064K), 0.0057558 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2022-04-14T22:27:59.817+0800: 16872.396: [GC (Allocation Failure) [PSYoungGen: 75200K->448K(81408K)] 141544K->66792K(280576K), 0.0059306 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2022-04-14T22:35:09.817+0800: 17302.396: [GC (Allocation Failure) [PSYoungGen: 76224K->352K(81408K)] 142568K->66728K(280576K), 0.0053895 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2022-04-14T22:42:19.574+0800: 17732.154: [GC (Allocation Failure) [PSYoungGen: 76128K->416K(81920K)] 142504K->66824K(281088K), 0.0050176 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2022-04-14T22:49:34.548+0800: 18167.127: [GC (Allocation Failure) [PSYoungGen: 77216K->480K(81920K)] 143624K->66896K(281088K), 0.0051783 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2022-04-14T22:56:51.540+0800: 18604.119: [GC (Allocation Failure) [PSYoungGen: 77280K->384K(82432K)] 143696K->66864K(281600K), 0.0051789 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-14T23:04:00.071+0800: 19032.650: [GC (Allocation Failure) [PSYoungGen: 78208K->512K(82432K)] 144688K->67104K(281600K), 0.0048550 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-14T23:11:20.519+0800: 19473.099: [GC (Allocation Failure) [PSYoungGen: 78336K->448K(82944K)] 144928K->67040K(282112K), 0.0050732 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2022-04-14T23:18:47.160+0800: 19919.739: [GC (Allocation Failure) [PSYoungGen: 79296K->448K(82944K)] 145888K->67048K(282112K), 0.0050734 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2022-04-14T23:26:13.746+0800: 20366.326: [GC (Allocation Failure) [PSYoungGen: 79296K->448K(83456K)] 145896K->67048K(282624K), 0.0059400 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2022-04-14T23:33:42.520+0800: 20815.099: [GC (Allocation Failure) [PSYoungGen: 79808K->448K(82944K)] 146408K->67048K(282112K), 0.0052295 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-14T23:41:12.300+0800: 21264.879: [GC (Allocation Failure) [PSYoungGen: 79808K->448K(83968K)] 146408K->67056K(283136K), 0.0056459 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-14T23:48:48.626+0800: 21721.206: [GC (Allocation Failure) [PSYoungGen: 80832K->384K(83456K)] 147440K->66992K(282624K), 0.0051529 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2022-04-14T23:56:24.563+0800: 22177.142: [GC (Allocation Failure) [PSYoungGen: 80768K->384K(83968K)] 147376K->67024K(283136K), 0.0052991 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-15T00:03:40.260+0800: 22612.839: [GC (Allocation Failure) [PSYoungGen: 81280K->480K(83968K)] 147920K->67192K(283136K), 0.0050027 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-15T00:11:19.758+0800: 23072.337: [GC (Allocation Failure) [PSYoungGen: 81376K->416K(84480K)] 148088K->67136K(283648K), 0.0051439 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2022-04-15T00:19:05.520+0800: 23538.099: [GC (Allocation Failure) [PSYoungGen: 82336K->416K(84480K)] 149056K->67136K(283648K), 0.0049204 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2022-04-15T00:26:50.148+0800: 24002.727: [GC (Allocation Failure) [PSYoungGen: 82336K->384K(84480K)] 149056K->67104K(283648K), 0.0049006 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2022-04-15T00:34:34.918+0800: 24467.497: [GC (Allocation Failure) [PSYoungGen: 82304K->448K(84480K)] 149024K->67168K(283648K), 0.0053182 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2022-04-15T00:42:19.660+0800: 24932.239: [GC (Allocation Failure) [PSYoungGen: 82368K->448K(84992K)] 149088K->67208K(284160K), 0.0050686 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2022-04-15T00:50:10.765+0800: 25403.345: [GC (Allocation Failure) [PSYoungGen: 83392K->480K(84992K)] 150152K->67240K(284160K), 0.0052973 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2022-04-15T00:58:02.007+0800: 25874.586: [GC (Allocation Failure) [PSYoungGen: 83424K->480K(84992K)] 150184K->67352K(284160K), 0.0052464 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2022-04-15T01:05:54.970+0800: 26347.549: [GC (Allocation Failure) [PSYoungGen: 83424K->320K(84992K)] 150296K->67200K(284160K), 0.0052426 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-15T01:13:46.208+0800: 26818.787: [GC (Allocation Failure) [PSYoungGen: 83264K->448K(85504K)] 150144K->67376K(284672K), 0.0050572 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2022-04-15T01:21:40.946+0800: 27293.525: [GC (Allocation Failure) [PSYoungGen: 83904K->480K(84992K)] 150832K->67408K(284160K), 0.0052901 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2022-04-15T01:29:35.999+0800: 27768.579: [GC (Allocation Failure) [PSYoungGen: 83936K->384K(85504K)] 150864K->67312K(284672K), 0.0051639 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2022-04-15T01:37:31.758+0800: 28244.337: [GC (Allocation Failure) [PSYoungGen: 84352K->496K(85504K)] 151280K->67424K(284672K), 0.0054173 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2022-04-15T01:45:28.740+0800: 28721.319: [GC (Allocation Failure) [PSYoungGen: 84464K->448K(85504K)] 151392K->67400K(284672K), 0.0051702 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-15T01:53:24.840+0800: 29197.419: [GC (Allocation Failure) [PSYoungGen: 84416K->448K(85504K)] 151368K->67400K(284672K), 0.0050652 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
